郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,
111,士林區,5低壓綜合需量非營業用　,619 ,"23,120 ","3,469,656 ",,
111,士林區,6低壓綜合非營業用電小計,**,"23,120 ","3,469,656 ",,
111,士林區,7低壓綜合裝置營業用　　,＊,47 ,"6,541 ",,
111,士林區,8低壓綜合需量營業用　　,839 ,"30,955 ","7,005,299 ",,
111,士林區,9低壓綜合營業用電小計　,**,"31,002 ","7,011,840 ",,
111,士林區,10低壓綜合用電小計　　　,**,"54,122 ","10,481,496 ",,
111,士林區,11低壓裝置電力　　　　　,118 ,"1,531 ","168,356 ",,
111,士林區,12低壓需量電力　　　　　,120 ,"5,438 ","853,856 ",,
111,士林區,13低壓電力小計　　　　　,**,"6,969 ","1,022,212 ",,
111,士林區,14高壓電力　　　　　　　,141 ,"98,357 ","33,938,539 ",,
111,士林區,15特高壓電力　　　　　　,＊,0 ,0 ,,
111,士林區,16高＆特高壓電力小計　　,**,"98,357 ","33,938,539 ",,
111,士林區,17電力小計　　　　　　　,**,"105,326 ","34,960,751 ",,
111,士林區,18綜合＆電力小計　　　　,**,"159,448 ","45,442,247 ",,
111,士林區,19電燈＆綜合＆電力小計　,**,"176,659 ","94,785,762 ",,
111,士林區,20臨時電燈　　　　　　　,61 ,0 ,"91,478 ",,
111,士林區,21臨時電力　　　　　　　,30 ,"2,381 ","351,041 ",,
111,士林區,22臨時用電小計　　　　　,**,"2,381 ","442,519 ",,
111,士林區,23總計（含臨時用電）　　,**,"176,659 ","95,228,281 ",,
111,士林區,24表燈合計　　　　　　　,**,"17,211 ","49,434,993 ",,
111,士林區,25綜合＆電力合計　　　　,**,"159,448 ","45,793,288 ",,
112,北投區,1表燈非營業用　　　　,"92,301 ",626 ,"44,761,353 ",,
112,北投區,2表燈營業用　　　　　　,"5,844 ","8,301 ","13,810,872 ",,
112,北投區,3表燈小計　　　　　　　,**,"8,927 ","58,572,225 ",,
112,北投區,4低壓綜合裝置非營業用　,＊,0 ,0 ,,
112,北投區,5低壓綜合需量非營業用　,594 ,"19,293 ","2,832,625 ",,
112,北投區,6低壓綜合非營業用電小計,**,"19,293 ","2,832,625 ",,
112,北投區,7低壓綜合裝置營業用　　,＊,70 ,"1,680 ",,
112,北投區,8低壓綜合需量營業用　　,432 ,"21,679 ","5,224,722 ",,
112,北投區,9低壓綜合營業用電小計　,**,"21,749 ","5,226,402 ",,
112,北投區,10低壓綜合用電小計　　　,**,"41,042 ","8,059,027 ",,
112,北投區,11低壓裝置電力　　　　　,66 ,801 ,"89,675 ",,
112,北投區,12低壓需量電力　　　　　,94 ,"4,623 ","729,049 ",,
112,北投區,13低壓電力小計　　　　　,**,"5,424 ","818,724 ",,
112,北投區,14高壓電力　　　　　　　,121 ,"94,545 ","40,867,068 ",,
112,北投區,15特高壓電力　　　　　　,＊,"10,537 ","5,398,775 ",,
112,北投區,16高＆特高壓電力小計　　,**,"105,082 ","46,265,843 ",,
112,北投區,17電力小計　　　　　　　,**,"110,506 ","47,084,567 ",,
112,北投區,18綜合＆電力小計　　　　,**,"151,548 ","55,143,594 ",,
112,北投區,19電燈＆綜合＆電力小計　,**,"160,475 ","113,715,819 ",,
112,北投區,20臨時電燈　　　　　　　,54 ,0 ,"56,747 ",,
112,北投區,21臨時電力　　　　　　　,54 ,"3,434 ","460,911 ",,
112,北投區,22臨時用電小計　　　　　,**,"3,434 ","517,658 ",,
112,北投區,23總計（含臨時用電）　　,**,"160,475 ","114,233,477 ",,
112,北投區,24表燈合計　　　　　　　,**,"8,927 ","58,628,972 ",,
112,北投區,25綜合＆電力合計　　　　,**,"151,548 ","55,604,505 ",,
114,內湖區,1表燈非營業用　　　　,"102,354 ",490 ,"35,148,542 ",,
114,內湖區,2表燈營業用　　　　　　,"12,690 ","16,835 ","11,591,717 ",,
114,內湖區,3表燈小計　　　　　　　,**,"17,325 ","46,740,259 ",,
114,內湖區,4低壓綜合裝置非營業用　,＊,0 ,0 ,,
114,內湖區,5低壓綜合需量非營業用　,"1,112 ","50,877 ","8,451,920 ",,
114,內湖區,6低壓綜合非營業用電小計,**,"50,877 ","8,451,920 ",,
114,內湖區,7低壓綜合裝置營業用　　,＊,0 ,0 ,,
114,內湖區,8低壓綜合需量營業用　　,"1,731 ","108,003 ","25,071,531 ",,
114,內湖區,9低壓綜合營業用電小計　,**,"108,003 ","25,071,531 ",,
114,內湖區,10低壓綜合用電小計　　　,**,"158,880 ","33,523,451 ",,
114,內湖區,11低壓裝置電力　　　　　,24 ,242 ,"11,925 ",,
114,內湖區,12低壓需量電力　　　　　,346 ,"12,710 ","2,521,823 ",,
114,內湖區,13低壓電力小計　　　　　,**,"12,952 ","2,533,748 ",,
114,內湖區,14高壓電力　　　　　　　,161 ,"140,565 ","57,828,460 ",,
114,內湖區,15特高壓電力　　　　　　,＊,"11,404 ","4,420,800 ",,
114,內湖區,16高＆特高壓電力小計　　,**,"151,969 ","62,249,260 ",,
114,內湖區,17電力小計　　　　　　　,**,"164,921 ","64,783,008 ",,
114,內湖區,18綜合＆電力小計　　　　,**,"323,801 ","98,306,459 ",,
114,內湖區,19電燈＆綜合＆電力小計　,**,"341,126 ","145,046,718 ",,
114,內湖區,20臨時電燈　　　　　　　,26 ,0 ,"20,940 ",,
114,內湖區,21臨時電力　　　　　　　,65 ,"4,291 ","652,857 ",,
114,內湖區,22臨時用電小計　　　　　,**,"4,291 ","673,797 ",,
114,內湖區,23總計（含臨時用電）　　,**,"341,126 ","145,720,515 ",,
114,內湖區,24表燈合計　　　　　　　,**,"17,325 ","46,761,199 ",,
114,內湖區,25綜合＆電力合計　　　　,**,"323,801 ","98,959,316 ",,
115,南港區,1表燈非營業用　　　　,"43,755 ",65 ,"7,742,342 ",,
115,南港區,2表燈營業用　　　　　　,"4,366 ","5,179 ","3,158,183 ",,
115,南港區,3表燈小計　　　　　　　,**,"5,244 ","10,900,525 ",,
115,南港區,4低壓綜合裝置非營業用　,＊,0 ,0 ,,
115,南港區,5低壓綜合需量非營業用　,355 ,"13,900 ","1,945,909 ",,
115,南港區,6低壓綜合非營業用電小計,**,"13,900 ","1,945,909 ",,
115,南港區,7低壓綜合裝置營業用　　,＊,0 ,0 ,,
115,南港區,8低壓綜合需量營業用　　,239 ,"12,334 ","2,823,251 ",,
115,南港區,9低壓綜合營業用電小計　,**,"12,334 ","2,823,251 ",,
115,南港區,10低壓綜合用電小計　　　,**,"26,234 ","4,769,160 ",,
115,南港區,11低壓裝置電力　　　　　,31 ,543 ,"57,310 ",,
115,南港區,12低壓需量電力　　　　　,158 ,"5,077 ","637,509 ",,
115,南港區,13低壓電力小計　　　　　,**,"5,620 ","694,819 ",,
115,南港區,14高壓電力　　　　　　　,88 ,"104,126 ","34,599,294 ",,
115,南港區,15特高壓電力　　　　　　,＊,"39,885 ","18,584,267 ",,
115,南港區,16高＆特高壓電力小計　　,**,"144,011 ","53,183,561 ",,
115,南港區,17電力小計　　　　　　　,**,"149,631 ","53,878,380 ",,
115,南港區,18綜合＆電力小計　　　　,**,"175,865 ","58,647,540 ",,
115,南港區,19電燈＆綜合＆電力小計　,**,"181,109 ","69,548,065 ",,
115,南港區,20臨時電燈　　　　　　　,9 ,0 ,"6,981 ",,
115,南港區,21臨時電力　　　　　　　,17 ,"1,495 ","384,244 ",,
115,南港區,22臨時用電小計　　　　　,**,"1,495 ","391,225 ",,
115,南港區,23總計（含臨時用電）　　,**,"181,109 ","69,939,290 ",,
115,南港區,24表燈合計　　　　　　　,**,"5,244 ","10,907,506 ",,
115,南港區,25綜合＆電力合計　　　　,**,"175,865 ","59,031,784 ",,
116,文山區,1表燈非營業用　　　　,"98,698 ",185 ,"28,672,026 ",,
116,文山區,2表燈營業用　　　　　　,"5,048 ","8,089 ","7,561,350 ",,
116,文山區,3表燈小計　　　　　　　,**,"8,274 ","36,233,376 ",,
116,文山區,4低壓綜合裝置非營業用　,＊,0 ,0 ,,
116,文山區,5低壓綜合需量非營業用　,771 ,"24,536 ","3,401,869 ",,
116,文山區,6低壓綜合非營業用電小計,**,"24,536 ","3,401,869 ",,
116,文山區,7低壓綜合裝置營業用　　,＊,74 ,"8,095 ",,
116,文山區,8低壓綜合需量營業用　　,317 ,"10,889 ","2,843,276 ",,
116,文山區,9低壓綜合營業用電小計　,**,"10,963 ","2,851,371 ",,
116,文山區,10低壓綜合用電小計　　　,**,"35,499 ","6,253,240 ",,
116,文山區,11低壓裝置電力　　　　　,30 ,318 ,"79,687 ",,
116,文山區,12低壓需量電力　　　　　,25 ,982 ,"150,504 ",,
116,文山區,13低壓電力小計　　　　　,**,"1,300 ","230,191 ",,
116,文山區,14高壓電力　　　　　　　,96 ,"44,663 ","14,676,218 ",,
116,文山區,15特高壓電力　　　　　　,＊,"23,950 ","10,966,313 ",,
116,文山區,16高＆特高壓電力小計　　,**,"68,613 ","25,642,531 ",,
116,文山區,17電力小計　　　　　　　,**,"69,913 ","25,872,722 ",,
116,文山區,18綜合＆電力小計　　　　,**,"105,412 ","32,125,962 ",,
116,文山區,19電燈＆綜合＆電力小計　,**,"113,686 ","68,359,338 ",,
116,文山區,20臨時電燈　　　　　　　,18 ,0 ,"9,371 ",,
116,文山區,21臨時電力　　　　　　　,27 ,"1,615 ","236,471 ",,
116,文山區,22臨時用電小計　　　　　,**,"1,615 ","245,842 ",,
116,文山區,23總計（含臨時用電）　　,**,"113,686 ","68,605,180 ",,
116,文山區,24表燈合計　　　　　　　,**,"8,274 ","36,242,747 ",,
116,文山區,25綜合＆電力合計　　　　,**,"105,412 ","32,362,433 ",,
200,仁愛區,1表燈非營業用　　　　,"22,660 ",370 ,"6,560,825 ",,
200,仁愛區,2表燈營業用　　　　　　,"3,231 ","4,890 ","3,846,079 ",,
200,仁愛區,3表燈小計　　　　　　　,**,"5,260 ","10,406,904 ",,
200,仁愛區,4低壓綜合裝置非營業用　,＊,0 ,0 ,,
200,仁愛區,5低壓綜合需量非營業用　,130 ,"3,840 ","433,746 ",,
200,仁愛區,6低壓綜合非營業用電小計,**,"3,840 ","433,746 ",,
200,仁愛區,7低壓綜合裝置營業用　　,＊,106 ,"11,836 ",,
200,仁愛區,8低壓綜合需量營業用　　,333 ,"10,479 ","2,520,851 ",,
200,仁愛區,9低壓綜合營業用電小計　,**,"10,585 ","2,532,687 ",,
200,仁愛區,10低壓綜合用電小計　　　,**,"14,425 ","2,966,433 ",,
200,仁愛區,11低壓裝置電力　　　　　,63 ,615 ,"116,618 ",,
200,仁愛區,12低壓需量電力　　　　　,13 ,393 ,"97,265 ",,
200,仁愛區,13低壓電力小計　　　　　,**,"1,008 ","213,883 ",,
200,仁愛區,14高壓電力　　　　　　　,24 ,"7,990 ","2,138,767 ",,
200,仁愛區,15特高壓電力　　　　　　,＊,0 ,0 ,,
200,仁愛區,16高＆特高壓電力小計　　,**,"7,990 ","2,138,767 ",,
200,仁愛區,17電力小計　　　　　　　,**,"8,998 ","2,352,650 ",,
200,仁愛區,18綜合＆電力小計　　　　,**,"23,423 ","5,319,083 ",,
200,仁愛區,19電燈＆綜合＆電力小計　,**,"28,683 ","15,725,987 ",,
200,仁愛區,20臨時電燈　　　　　　　,7 ,0 ,"10,412 ",,
200,仁愛區,21臨時電力　　　　　　　,＊,99 ,"4,200 ",,
200,仁愛區,22臨時用電小計　　　　　,**,99 ,"14,612 ",,
200,仁愛區,23總計（含臨時用電）　　,**,"28,683 ","15,740,599 ",,
200,仁愛區,24表燈合計　　　　　　　,**,"5,260 ","10,417,316 ",,
200,仁愛區,25綜合＆電力合計　　　　,**,"23,423 ","5,323,283 ",,
201,信義區,1表燈非營業用　　　　,"24,836 ",262 ,"640,132 ",,
201,信義區,2表燈營業用　　　　　　,"1,146 ","1,689 ","652,594 ",,
201,信義區,3表燈小計　　　　　　　,**,"1,951 ","1,292,726 ",,
201,信義區,4低壓綜合裝置非營業用　,＊,0 ,0 ,,
201,信義區,5低壓綜合需量非營業用　,123 ,"4,751 ","705,238 ",,
201,信義區,6低壓綜合非營業用電小計,**,"4,751 ","705,238 ",,
201,信義區,7低壓綜合裝置營業用　　,＊,68 ,"14,920 ",,
201,信義區,8低壓綜合需量營業用　　,49 ,"2,788 ","706,290 ",,
201,信義區,9低壓綜合營業用電小計　,**,"2,856 ","721,210 ",,
201,信義區,10低壓綜合用電小計　　　,**,"7,607 ","1,426,448 ",,
201,信義區,11低壓裝置電力　　　　　,6 ,133 ,"50,336 ",,
201,信義區,12低壓需量電力　　　　　,19 ,760 ,"115,052 ",,
201,信義區,13低壓電力小計　　　　　,**,893 ,"165,388 ",,
201,信義區,14高壓電力　　　　　　　,33 ,"12,445 ","4,198,242 ",,
201,信義區,15特高壓電力　　　　　　,＊,0 ,0 ,,
201,信義區,16高＆特高壓電力小計　　,**,"12,445 ","4,198,242 ",,
201,信義區,17電力小計　　　　　　　,**,"13,338 ","4,363,630 ",,
201,信義區,18綜合＆電力小計　　　　,**,"20,945 ","5,790,078 ",,
201,信義區,19電燈＆綜合＆電力小計　,**,"22,896 ","7,082,804 ",,
201,信義區,20臨時電燈　　　　　　　,15 ,0 ,0 ,,
201,信義區,21臨時電力　　　　　　　,＊,351 ,"74,777 ",,
