郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,,
112,北投區,9低壓綜合營業用電小計,**,"21,276","5,195,670 ",,,
112,北投區,10低壓綜合用電小計,**,"41,277","8,167,757 ",,,
112,北投區,11低壓裝置電力,66,801,"102,708 ",,,
112,北投區,12低壓需量電力,95,"5,138","779,526 ",,,
112,北投區,13低壓電力小計,**,"5,939","882,234 ",,,
112,北投區,14高壓電力,122,"95,828","38,215,414 ",,,
112,北投區,15特高壓電力,＊,"10,537","4,923,555 ",,,
112,北投區,16高＆特高壓電力小計,**,"106,365","43,138,969 ",,,
112,北投區,17電力小計,**,"112,304","44,021,203 ",,,
112,北投區,18綜合＆電力小計,**,"153,581","52,188,960 ",,,
112,北投區,19電燈＆綜合＆電力小計,**,"163,373","71,904,907 ",,,
112,北投區,20臨時電燈,45,0,"54,132 ",,,
112,北投區,21臨時電力,48,"2,436","371,628 ",,,
112,北投區,22臨時用電小計,**,"2,436","425,760 ",,,
112,北投區,23總計（含臨時用電）,**,"163,373","72,330,667 ",,,
112,北投區,24表燈合計,**,"9,792","19,770,079 ",,,
112,北投區,25綜合＆電力合計,**,"153,581","52,560,588 ",,,
114,內湖區,1表燈非營業用,"103,083",514,"33,329,340 ",,,
114,內湖區,2表燈營業用,"12,975","19,070","40,839,955 ",,,
114,內湖區,3表燈小計,**,"19,584","74,169,295 ",,,
114,內湖區,4低壓綜合裝置非營業用,＊,0,0 ,,,
114,內湖區,5低壓綜合需量非營業用,"1,141","50,319","8,619,749 ",,,
114,內湖區,6低壓綜合非營業用電小計,**,"50,319","8,619,749 ",,,
114,內湖區,7低壓綜合裝置營業用,＊,0,0 ,,,
114,內湖區,8低壓綜合需量營業用,"1,742","109,247","25,547,538 ",,,
114,內湖區,9低壓綜合營業用電小計,**,"109,247","25,547,538 ",,,
114,內湖區,10低壓綜合用電小計,**,"159,566","34,167,287 ",,,
114,內湖區,11低壓裝置電力,22,180,"8,671 ",,,
114,內湖區,12低壓需量電力,347,"12,971","2,656,540 ",,,
114,內湖區,13低壓電力小計,**,"13,151","2,665,211 ",,,
114,內湖區,14高壓電力,162,"135,281","55,666,690 ",,,
114,內湖區,15特高壓電力,＊,"11,404","5,051,200 ",,,
114,內湖區,16高＆特高壓電力小計,**,"146,685","60,717,890 ",,,
114,內湖區,17電力小計,**,"159,836","63,383,101 ",,,
114,內湖區,18綜合＆電力小計,**,"319,402","97,550,388 ",,,
114,內湖區,19電燈＆綜合＆電力小計,**,"338,986","171,719,683 ",,,
114,內湖區,20臨時電燈,24,0,"33,043 ",,,
114,內湖區,21臨時電力,57,"4,740","622,729 ",,,
114,內湖區,22臨時用電小計,**,"4,740","655,772 ",,,
114,內湖區,23總計（含臨時用電）,**,"338,986","172,375,455 ",,,
114,內湖區,24表燈合計,**,"19,584","74,202,338 ",,,
114,內湖區,25綜合＆電力合計,**,"319,402","98,173,117 ",,,
115,南港區,1表燈非營業用,"43,999",65,"18,669,525 ",,,
115,南港區,2表燈營業用,"4,349","5,657","9,459,420 ",,,
115,南港區,3表燈小計,**,"5,722","28,128,945 ",,,
115,南港區,4低壓綜合裝置非營業用,＊,0,0 ,,,
115,南港區,5低壓綜合需量非營業用,356,"13,473","2,082,223 ",,,
115,南港區,6低壓綜合非營業用電小計,**,"13,473","2,082,223 ",,,
115,南港區,7低壓綜合裝置營業用,＊,0,0 ,,,
115,南港區,8低壓綜合需量營業用,248,"12,567","2,888,990 ",,,
115,南港區,9低壓綜合營業用電小計,**,"12,567","2,888,990 ",,,
115,南港區,10低壓綜合用電小計,**,"26,040","4,971,213 ",,,
115,南港區,11低壓裝置電力,31,543,"57,054 ",,,
115,南港區,12低壓需量電力,153,"4,830","583,998 ",,,
115,南港區,13低壓電力小計,**,"5,373","641,052 ",,,
115,南港區,14高壓電力,85,"99,474","33,601,776 ",,,
115,南港區,15特高壓電力,＊,"39,885","17,492,422 ",,,
115,南港區,16高＆特高壓電力小計,**,"139,359","51,094,198 ",,,
115,南港區,17電力小計,**,"144,732","51,735,250 ",,,
115,南港區,18綜合＆電力小計,**,"170,772","56,706,463 ",,,
